mrun,distancia,p_prioritario,simce_let,simce_mat,cod_nivel,prioridad_h,es_mujer,prioritario,alto_rendimiento,tipo,alt
8115611,3.1242,0,254,302,9,0,0,1,0,no_mun & conv,0
8115611,2.3888,0,292,337,9,0,0,1,0,mun & conv,1
8154676,0.6828,0.15152,227,274,9,0,1,0,0,no_muni & no_conv,0
8154676,1.9315,0.15,235,226,9,0,1,0,0,mun & no_conv,1
8154676,2.608,0,270,334,9,0,1,0,0,no_mun & conv,0
8154676,0.46503,0.15,218,201,9,0,1,0,0,mun & conv,0
8211480,1.1744,0.15556,265,304,9,0,1,1,0,no_muni & no_conv,0
8211480,0.37201,0,297,313,9,0,1,1,0,mun & no_conv,1
8211480,2.8762,0,231,219,9,0,1,1,0,no_mun & conv,0
8211480,4.0478,0,236,228,9,0,1,1,0,mun & conv,0
8466965,3.1715,0.15,228,237,9,0,1,1,1,no_muni & no_conv,0
8466965,1.0167,0,304,323,9,0,1,1,1,mun & no_conv,1
8466965,9.0289,0,285,306,9,0,1,1,1,no_mun & conv,0
8466965,3.6517,0.016667,248,261,9,0,1,1,1,mun & conv,0
8705919,6.9619,0,245,273,7,0,0,0,1,no_muni & no_conv,0
8705919,4.8557,0.15333,328,374,7,0,0,0,1,mun & no_conv,0
8705919,5.9567,0,550,550,7,0,0,0,1,no_mun & conv,0
8705919,3.2293,0,288,308,7,0,0,0,1,mun & conv,1
8765965,3.0647,0,303,320,7,0,1,0,0,no_muni & no_conv,0
8765965,0.43605,0.15556,262,259,7,0,1,0,0,mun & no_conv,1
8765965,3.2735,0,250,275,7,0,1,0,0,no_mun & conv,0
8765965,1.86,0.058333,550,550,7,0,1,0,0,mun & conv,0
8935027,4.3242,0,241,269,9,0,1,1,1,no_muni & no_conv,0
8935027,4.2071,0,328,374,9,0,1,1,1,mun & no_conv,1
8935027,4.3012,0.022222,226,242,9,0,1,1,1,no_mun & conv,0
8935027,3.5943,0,296,333,9,0,1,1,1,mun & conv,0
9054179,1.446,0.029412,212,224,9,0,0,1,1,no_muni & no_conv,1
9054179,13.3599,0,311,351,9,0,0,1,1,mun & no_conv,0
9054179,2.0986,0.15,250,258,9,0,0,1,1,no_mun & conv,0
9054179,8.9582,0,306,341,9,0,0,1,1,mun & conv,0
9217523,2.1534,0.011494,268,320,11,0,0,0,0,no_muni & no_conv,0
